Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,81.916740,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,82.288628,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,83.323532,33750
2010-09-14,102.839996,103.480003,102.379997,103.040001,83.307365,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,83.517525,9250
2010-09-16,103.019997,103.320000,102.699997,103.260002,83.485229,59550
2010-09-17,103.879997,103.879997,103.019997,103.360001,83.566048,49350
2010-09-20,103.739998,105.040001,103.459999,105.040001,84.924355,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,84.665627,19250
2010-09-22,104.559998,105.040001,103.959999,104.160004,84.212852,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,83.517525,33350
2010-09-24,103.940002,104.900002,103.860001,104.839996,85.222984,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,84.816544,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,85.369308,49850
2010-09-29,104.580002,104.919998,104.220001,104.519997,84.962875,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,84.832809,44750
2010-10-01,105.080002,105.160004,104.160004,104.720001,85.125450,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,84.410118,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,86.263496,19850
2010-10-06,106.120003,106.279999,105.620003,105.940002,86.117172,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,86.068390,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,86.718697,61550
2010-10-11,106.720001,106.839996,106.279999,106.500000,86.572380,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,87.076378,42050
2010-10-13,107.580002,108.279999,107.239998,107.760002,87.596619,74450
2010-10-14,107.699997,107.820000,106.800003,107.360001,87.271477,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,87.434029,54950
2010-10-18,107.620003,108.440002,107.440002,108.339996,88.068100,22850
2010-10-19,107.139999,107.680000,106.019997,106.620003,86.669922,38550
